Name,Favorite,Rating,FavChar,Members,Played_anime
Kamiya Hiroshi,107474.0,72730.92550790068,93985.64334085779,24279.980812641086,44300
Hanazawa Kana,101784.0,69077.17996289425,9093.933209647495,23032.04897959184,53900
Miyano Mamoru,91397.0,71343.6842105263,39265.89473684211,25498.704736842104,38000
Kaji Yuuki,75163.0,70574.56978967496,42477.80114722754,27918.540344168257,52300
Hayami Saori,65020.0,69982.36714975844,12646.207729468599,27355.471739130433,41400
Takahashi Rie,57976.0,66786.69724770643,60926.05504587156,19415.374311926607,21800
Ono Daisuke,49144.0,71408.2851637765,20126.165703275532,22883.072639691716,51900
Tsuda Kenjirou,48464.0,70476.42679900744,3472.1339950372208,29064.488337468985,40300
Sugita Tomokazu,47147.0,70441.66666666667,40816.87074829932,22846.260714285716,58800
Okamoto Nobuhiko,44813.0,71296.8058968059,26175.773955773955,28884.79017199017,40700
Matsuoka Yoshitsugu,40841.0,69924.56575682382,29173.325062034743,30235.510918114145,40300
Kugimiya Rie,40709.0,70862.33333333333,13530.95,20684.014833333335,60000
Sawashiro Miyuki,40626.0,70534.13379073757,7856.569468267581,19699.2833619211,58300
Koyasu Takehito,35479.0,71507.84593437945,3384.821683309558,23814.986162624824,70100
Fukuyama Jun,35283.0,70990.82892416226,53946.89594356262,19589.837037037036,56700
Yuuki Aoi,32705.0,68456.19047619047,13210.47619047619,26829.352142857144,42000
Nakamura Yuuichi,31928.0,71929.53271028037,15329.588785046728,25146.011775700936,53500
Suwabe Junichi,27676.0,72256.28415300546,10817.19489981785,26235.128779599276,54900
Kayano Ai,25767.0,71315.8163265306,7069.948979591836,25264.225510204084,39200
Sakurai Takahiro,25119.0,71704.8854961832,11088.763358778626,24990.9186259542,65500
Minase Inori,24857.0,70334.22222222222,33153.200000000004,20626.31777777778,22500
Amamiya Sora,23441.0,67798.33333333333,18959.666666666668,30687.947222222225,18000
Hanae Natsuki,19892.0,69103.66666666667,17954.36666666667,28758.918666666665,30000
Sakura Ayane,19186.0,70667.47967479675,7233.170731707318,24418.87940379404,36900
Hirano Aya,18582.0,68917.93478260869,14466.684782608696,21045.61793478261,18400
Park Romi,18369.0,71759.02777777777,41151.944444444445,26440.041319444445,28800
Tomatsu Haruka,17895.0,69798.47560975609,21714.024390243903,22922.83323170732,32800
Uchiyama Kouki,17689.0,71061.44578313253,12248.353413654619,32452.822489959843,24900
Nakai Kazuya,17207.0,73656.89655172414,151138.41379310345,25982.241379310348,29000
Sakamoto Maaya,17045.0,73020.80745341616,27166.832298136647,28157.693478260873,32200
Horie Yui,15880.0,70279.95444191343,5973.075170842825,17857.851480637815,43900
Touyama Nao,15858.0,69621.31661442007,7885.5799373040745,19667.084012539184,31900
Taketatsu Ayana,14089.0,67377.01149425287,8847.854406130267,22415.183908045976,26100
Namikawa Daisuke,13414.0,71244.68864468865,6864.59706959707,23803.894322344324,54600
Hikasa Youko,13170.0,70086.2,7757.98,22623.005400000002,50000
Uchida Maaya,12583.0,69520.81911262799,9446.996587030717,26238.59795221843,29300
Ishida Akira,12515.998316498317,71807.74410774412,7497.727272727272,19154.10622895623,59400
Mizuki Nana,11994.996644295303,70560.40268456376,7316.744966442953,17326.38389261745,29800
Ishikawa Yui,11730.0,70296.8992248062,95694.03100775194,28307.273643410852,12900
Shimono Hiro,11066.0,69460.20671834626,7071.757105943152,24855.924806201554,38700
Kitou Akari,10541.0,64675.177304964534,15029.929078014184,20015.343971631206,14100
Saitou Chiwa,10424.0,71723.07692307692,20560.82417582418,17752.6782967033,36400
Koga Aoi,10041.0,70468.62745098039,18261.470588235294,29950.33921568628,10200
Toyosaki Aki,9957.0,71104.22535211267,6930.422535211268,20597.378169014086,28400
Ishikawa Kaito,9768.0,69162.62626262626,12881.346801346801,32105.57710437711,29700
Hosoya Yoshimasa,9552.0,73427.1052631579,7611.368421052632,34311.89815789474,38000
Ogata Megumi,8859.0,72632.04419889503,16096.353591160221,18742.580662983426,18100
Noto Mamiko,8622.0,71496.4093357271,2071.6517055655295,19565.31615798923,55700
Eguchi Takuya,8496.0,68347.58064516129,15041.733870967742,24693.379435483872,24800
Uchida Yuuma,8112.0,66258.16326530612,6923.724489795918,19489.748469387756,19600
Ono Kensho,8029.0,69915.91836734695,10910.408163265307,24851.704081632655,24500
Seto Asami,7966.0,70563.83928571429,12638.25892857143,24913.206250000003,22400
Inoue Marina,7943.0,71785.95505617978,15352.556179775282,30824.680337078655,35600
Tamura Yukari,7934.0,70196.6966966967,4306.726726726727,20991.86696696697,33300
Taneda Risa,7924.0,70958.4,12700.4,24104.256800000003,12500
Ise Mariya,7916.0,71063.24503311259,14588.344370860927,25494.735761589403,30200
Kitamura Eri,7832.0,69926.213592233,3283.78640776699,21957.000242718448,41200
Nakata Jouji,7728.0,72897.77070063695,7373.3121019108285,27716.77324840764,31400
Tanaka Mayumi,7580.0,66900.92592592593,239600.46296296295,14714.113425925927,21600
Miki Shinichiro,7367.0,70678.0487804878,6632.919655667145,20674.90444763271,70000
Wakamoto Norio,7201.0,70623.12312312312,692.8828828828829,13227.281681681681,33300
Shimazaki Nobunaga,6898.0,70200.73800738007,6735.830258302583,21805.143173431734,27100
Kobayashi Yuusuke,6636.0,69305.23809523809,19122.809523809523,26165.240476190476,21000
Hayashibara Megumi,6537.0,69574.25742574257,6127.755775577558,12065.296369636964,60600
Suzuki Tatsuhisa,6518.0,69378.90909090909,10394.49090909091,19789.48581818182,27600
Seki Tomokazu,6181.0,71826.18556701031,10351.876288659794,20521.760000000002,48500
